test_case	id	source	language	text	task1	task2
EXIST2021	1583	twitter	en	Over the past couple of years when I have looked at Fair Play for Womens website it is abundantly clear that it displays transphobic content which would qualify them as a hate group 	sexist	ideological-inequality
EXIST2021	1584	twitter	en	HELP BRING HER HOME  Ohio Township police are asking for help finding a yearold girl believed to be in the South Side Flats area of Pittsburgh 	non-sexist	non-sexist
EXIST2021	1585	twitter	en	Some women are selfish Very selfish When theres an argument they use their children and involve them as a threat to win the argument    This is evil and selfish  Deal with your man dont involve the children  What have they done Case closed rubbish	sexist	stereotyping-dominance
EXIST2021	1586	twitter	en	  They have no choicethey will line up behind the dumb blonde	sexist	stereotyping-dominance
EXIST2021	1587	twitter	en	I dont understand how there exists women who dont support MedicareAll Childbirth bills get sent to mom	non-sexist	non-sexist
EXIST2021	1588	twitter	en	i wish i had no fucking tits	non-sexist	non-sexist
EXIST2021	1589	twitter	en	 Ugh love this little face mashaAllah	non-sexist	non-sexist
EXIST2021	1590	twitter	en	   Reckon shes speaking to the perception of housewife I dont know any housewives without a college education and I dont know any of these types of men who dont put all women in this bucket of assumptions that once we have kids thats our only thing	sexist	stereotyping-dominance
EXIST2021	1591	twitter	en	  These guys dont realize theyre on a very bad date I want you to put this short skirt on remove your underwear and Im going to paint your bare naked assWomen would have bolted on I want  Theyre dumber than they look	sexist	sexual-violence
EXIST2021	1592	twitter	en	A day in the life of a feral housewife  Outfit pictures Groceries delivery unpacking  up and down the stairs to pantry many times Laundry stairs Cook lunch for husband  Unloadload dishwasher    pm  read Schopenhauer and feel slightly better about your existence	sexist	stereotyping-dominance
EXIST2021	1593	twitter	en	 do you want to watch me talk to a  girl then her get gangbanged by people that want a peace of me its crazy I dont understand what they want they dont use words	sexist	sexual-violence
EXIST2021	1594	twitter	en	Trophy wife 	sexist	stereotyping-dominance
EXIST2021	1595	twitter	en	pls dont remind me of those ugly ass names I forgot them as I should lets not bring it back uh yh Im talking about Damons sons names	non-sexist	non-sexist
EXIST2021	1596	twitter	en	Homer is driving drunk and has collided with a woman scientist	non-sexist	non-sexist
EXIST2021	1597	twitter	en	credit to  they were her tits	sexist	objectification
EXIST2021	1598	twitter	en	    shut the fuck up bald cunt you look like a pathetic kid fiddler why would i trust you	sexist	misogyny-non-sexual-violence
EXIST2021	1599	twitter	en	In March this year WomensDay was not celebrated in full because the COVID pandemic was on the rise However at UNFICYP we remain committed towards genderquality across the island and to increase the participation of womeninpeacekeeping in Cyprus AP ServingPeace 	non-sexist	non-sexist
EXIST2021	1600	twitter	en	    yeah not going to take those stats at face value None of the women I know who have been assaulted in Poland reported it in any way Our sexed doesnt acknowledge marital rape or consent in general Unless the rape is violent its not even taken as rape by a lot of people	sexist	sexual-violence
EXIST2021	1601	twitter	en	TRLL ME TELL ME WHO YOU LIVE THE MOST TELL ME GIRL I REALLY WANNA KNOW	non-sexist	non-sexist
EXIST2021	1602	twitter	en	 My account has been suspended since June  There is no violationYour account has been suspended due to a system misidentificationPlease hurry to unsuspend my accountCase number Please do not ignore itPlease do not run awayHarassed  Twittersupport 	non-sexist	non-sexist
EXIST2021	1603	twitter	en	  Tammy gives the term dumb blonde a whole new meaning 	sexist	stereotyping-dominance
EXIST2021	1604	twitter	en	 We  you Post your BEST slapper grab ANY play on our app so more college coaches amp fans can watch you ball out YOUR play could be featured to all coachesfans on TwitterIGTikTok Hit the link to download Sports 	non-sexist	non-sexist
EXIST2021	1605	twitter	en	  Can MEN just stop MANsplaining everything and rushing at every chance to say not all MEN	sexist	ideological-inequality
EXIST2021	1606	twitter	en	I swear the video of this woman saying she is just  is leaving rent free in my head lmao	non-sexist	non-sexist
EXIST2021	1607	twitter	en	ugh why cant congress stop mansplaining for like once What the hell	non-sexist	non-sexist
EXIST2021	1608	twitter	en	 no offense but you look like a cracked out meth whore Clean it up a little baby girl Try some decent makeup next time findom	sexist	objectification
EXIST2021	1609	twitter	en	Ladies I dont kno who needs to hear this but go back to yall family BeThankful dontsneak shakywar alreadyknew	non-sexist	non-sexist
EXIST2021	1610	twitter	en	 yep that definitely helped me i cant lie it opened me to a Whole world but lately i just need stories about women cause bisexual women and lesbians have different stories imo in that they can hit different aspects of life i still thank gay stories so much	non-sexist	non-sexist
EXIST2021	1611	twitter	en	Call me sexist or misogynist if you want but managing a clinic full of women is a damned nightmare The fucking petty infighting I have to referee is a pain in the ass	sexist	stereotyping-dominance
EXIST2021	1612	twitter	en	yeah imma need selenators to stop calling me sexist bc i dont like selena then call hailey a housewifetrophy wife i know a lot of those accounts are men too hint hint treating one girl with respect just bc you like her does not erase your sexism done to other woman	sexist	stereotyping-dominance
EXIST2021	1613	twitter	en	Cant spell women without men so I guess we all embarrassments 	non-sexist	non-sexist
EXIST2021	1614	twitter	en	 So this presumably grown adult looks at a story about a seventeen year old in intense emotional distress and the immediate reaction is to make fun of that distress Such feminism 	sexist	ideological-inequality
EXIST2021	1615	twitter	en	   No  Just as women hold no such right  YOU too can terminate any and all pregnancies that occur IN your body  This is pretty simple stuff Mic  Men hold choices on whether or not to reproduce  YOURE just mad because you fail at this time an time again  Blame yourself	non-sexist	non-sexist
EXIST2021	1616	twitter	en	Dont text me not to put family into this bc you a bitch and your dad for laughing at me and saying those arent from punches those look like you fell And how do I not you didnt make them yourself SO YEAH FUCK YOU AND YOUR DAD	sexist	misogyny-non-sexual-violence
EXIST2021	1617	twitter	en	 That in the warehouse is an isolated case but most of them come here and ask for free apartments cars and much more without having to work for a day as do our women annoy our daughters every day	sexist	stereotyping-dominance
EXIST2021	1618	twitter	en	 Peter bitcoin is going up again but gold seems to be stuck in a rot you seem to slag bitcoin all the time but nobody seems to be listening	non-sexist	non-sexist
EXIST2021	1619	twitter	en	   smackdown womens division wasnt boring yea because nikki cross vs bayley was a real slapper  or anyone else she ran through before sasha	non-sexist	non-sexist
EXIST2021	1620	twitter	en	  Well I read hes broke so is he a saint Or just a gold digger	non-sexist	non-sexist
EXIST2021	1621	twitter	en	Its sooo cold I need a real man to warm and spoil me  EuropeanGirls  GreatSex  Gives me the urge  	non-sexist	non-sexist
EXIST2021	1622	twitter	en	just remembered this v fun time over the summer that an old white man was leaning out the passenger window of his car repeatedly calling me a little skank while his wife drove the car  mph bc I took the parking spot they wanted at the lake thought I would share	sexist	misogyny-non-sexual-violence
EXIST2021	1623	twitter	en	Paying homage to the  laughing at veterans and mocking Women empowerwomen KamalaHarris pathetic pigs Patriarchy 	non-sexist	non-sexist
EXIST2021	1624	twitter	en	 they dobut its worse when something is lauded for its goodness its feminism etcwhilst being horribly prejudiced in other ways	sexist	ideological-inequality
EXIST2021	1625	twitter	en	 And  Gym Jordans friends wont be able to sodomize you if they dont know where you are	non-sexist	non-sexist
EXIST2021	1626	twitter	en	Wahit is lunar face helpful to the people and like Making good changes while also being a super mega ultra gold digger or	non-sexist	non-sexist
EXIST2021	1627	twitter	en	 we did not deserve this but thank u queen	non-sexist	non-sexist
EXIST2021	1628	twitter	en	NurseJaxxxie on OnlyFans womancrush womensday photography lipsfordays tellmewhatyouwant onlyfans strikeapose authentic influencer 	non-sexist	non-sexist
EXIST2021	1629	twitter	en	this thread taught me its really women out here tht dnt wanna spank they children 	sexist	stereotyping-dominance
EXIST2021	1630	twitter	en	 Been frigid up here all day Welcome to my world	non-sexist	non-sexist
EXIST2021	1631	twitter	en	  You dont need to be consistent or even make sense You pick a word out of the ideological word box and throw it at people who threaten your frigid ideology	non-sexist	non-sexist
EXIST2021	1632	twitter	en	the definition of cock tease is me driving past the exit for my house bc i have to clock out of work first	non-sexist	non-sexist
EXIST2021	1633	twitter	en	 Is it just me or that cock is bigger than the face	non-sexist	non-sexist
EXIST2021	1634	twitter	en	Really fina make this bitch stand on what he said  aint no coming back from this	sexist	misogyny-non-sexual-violence
EXIST2021	1635	twitter	en	  Disbar the skank	sexist	misogyny-non-sexual-violence
EXIST2021	1636	twitter	en	If this SLAG was the voice on audio books I would listen to EVERY BOOK SHE DID  	sexist	stereotyping-dominance
EXIST2021	1637	twitter	en	Some girl i know NOT a friend is going to nursing school and i kinda wanna be straight up and say its not for her but she might hex me	non-sexist	non-sexist
EXIST2021	1638	twitter	en	  Athleisure Entrepreneur PrivateTraining OneonOne CoronaVirus RAINN WomensDay TimesUp MeToo PrivateTraining   Self Defense Training for Women	non-sexist	non-sexist
EXIST2021	1639	twitter	en	FEMINIST WOMEN HATES VIDEO GAMES BACKFIRES ON HER  via 	sexist	ideological-inequality
EXIST2021	1640	twitter	en	 Deformed by breast implants Why do some women choose to damage and deform their bodies acquiring a shape that is UNNATURAL The sharply defined round edges around the tops are a dead giveaway of implant deformation Vomit	sexist	objectification
EXIST2021	1641	twitter	en	 woaw youre the most beautiful person ive ever seen	non-sexist	non-sexist
EXIST2021	1642	twitter	en	Alright I know Ive been on the topic of sexism a lot today but its stuck on my mindCan somebody fully explain to me what mansplaining is I try to help people when they ask but I dont want to come off as offensive The last thing I want is to get cancelled	sexist	ideological-inequality
EXIST2021	1643	twitter	en	came to twitter to see sum mans hairy ass looking like kiwi skin	non-sexist	non-sexist
EXIST2021	1644	twitter	en	RealMenFuck  Penis By The Pound With August and Jesse all RealMenFuckJesse is hungry for dick and he wont take no for an answer Once he gets into Augusts bulging pants all bets are off After Jesse goes down on the massive cock in his face he b 	sexist	sexual-violence
EXIST2021	1645	twitter	en	It always amazes me how many white male socalled communists spout homophobic transphobic sexist amp deeply reactionary shit amp call themselves revolutionary We get it you dont have any interest in actual liberation you just thought the  victory parade looked cool	non-sexist	non-sexist
EXIST2021	1646	twitter	en	Daddy just loves to spank young women on the bare ass 	sexist	sexual-violence
EXIST2021	1647	twitter	en	 How about misandry	non-sexist	non-sexist
EXIST2021	1648	twitter	en	Feminist like this are the reason Mgtow is becoming more popular like you really believe a straight dude couldnt just like being a gynecologist Its the reverse sexism for me  	sexist	ideological-inequality
EXIST2021	1649	twitter	en	Until laws change its better to stay mgtow for men There is absolutely no reason why you even want to interact with a woman Marriages and relationships will suffer 	sexist	misogyny-non-sexual-violence
EXIST2021	1650	twitter	en	Excuse me Ladies I know youre tired from picking up that extra shift to pay for Christmas gifts for your kids Maybe you dont have enough money to address that dental problem thats been bothering you But can we please take a moment for middle class strivers on Twitter  	non-sexist	non-sexist
EXIST2021	1651	twitter	en	  I still reckon we stand behind Arteta and the team Like come on I believe the players should be given most of sticks man They letting the manager down same as the board Nobody will progress with this shitty squad Give Arteta a good window if he fucks  he should go	non-sexist	non-sexist
EXIST2021	1652	twitter	en	 How rich are you I would like to fuck you rich for your rich vagina and fill your rich vagina with milk	sexist	sexual-violence
EXIST2021	1653	twitter	en	Its soooo freaking hard to meet a nice normal guy with a banging body take a dad bod though that just wants be my little dirty cum bucket slut who isnt built like a  year old and can last longer than  seconds the struggle is real	non-sexist	non-sexist
EXIST2021	1654	twitter	en	CNN my first job when I was  years old I already had a kid my boss was a sexist racist horrible person Everyone was afraid of him but I for some reason called him out on his shit You mean to tell me none of these senators can call out Trump on his shit	non-sexist	non-sexist
EXIST2021	1655	twitter	en	Ah being a little slut to take try and get some type of attention and affection It never turns out how I want it to I think maybe if I let them fuck me theyll notice my personality and not just my body How could I be so fucking stupid All I am is a body to them Fuck me	sexist	sexual-violence
EXIST2021	1656	twitter	en	Why he got to be Pastor holy whore 	non-sexist	non-sexist
EXIST2021	1657	twitter	en	Nahthats some gold digger shit 	sexist	stereotyping-dominance
EXIST2021	1658	twitter	en	  Errmmm it wasnt the subject Well they had to make the movie sit within an already existing  or  movies in the CU The focus was on one woman fully empowered in the comics so definitely had to continue the relevance To me it was fine	non-sexist	non-sexist
EXIST2021	1659	twitter	en	 Isnt this the same woman that filmed a crazy video to ppl while she was driving telling p she was showing up to her county courthouse w lettuce lettuhz 	non-sexist	non-sexist
EXIST2021	1660	twitter	en	Eminem Im going to chain you up in my basement sodomize you and then pop a Xanny to relax while jerking off to Disney Original childrens showsWhite people No rapper alive is touching this mans bars 	sexist	sexual-violence
EXIST2021	1661	twitter	en	When will this realistically stop why do man utd only decide to show up in the last ten minutes of a game Youve got to imagine as if every minute is one of the last ten That performance simply not good enough I hate slating my own club but ffs now 	non-sexist	non-sexist
EXIST2021	1662	twitter	en	                    Im seen as a woman every day by lots of people I assume I dont have the right to MAKE THEM see me as a womanHow can TW have the right to compete in female sports without taking away the right of females to HAVE female sports As soon as TW compete they become mixed sex	sexist	ideological-inequality
EXIST2021	1663	twitter	en	sneezes on u lol  Yeah cover me in sneeze slutbag 	non-sexist	non-sexist
EXIST2021	1664	twitter	en	  True it seems like every immoral thing that becomes popular they are okay with it But cant say ALL because we do have a lot of Black Women with integrity too like you	non-sexist	non-sexist
EXIST2021	1665	twitter	en	SEXUAL HARASSMENT WARNING BUT VHAHAHSHAHAH 	sexist	sexual-violence
EXIST2021	1666	twitter	en	If youre girl says this then tell her shes an unworthy yadda yadda yaddaMate youre a misogynistic piece of shit your opinion is very much unimportant If a lady wants to reschedule be a goddamned man and agree If my little girl or boy grow up to date someone like this	sexist	misogyny-non-sexual-violence
EXIST2021	1667	twitter	en	Soji This may not be the right time to say this but you dont look like a prostitute Chapter 	sexist	objectification
EXIST2021	1668	twitter	en	   woman empowerment  is like  my foot Only Maino needs to be empowered along with Vadra rest of women need to be overpowered	sexist	ideological-inequality
EXIST2021	1669	twitter	en	Period sex isnt for men lol its for women like are yall that self centered	sexist	sexual-violence
EXIST2021	1670	twitter	en	 I like crude And I like more than just a mans body so dont keep flattering yourself or I might just change my mind Im sure plenty of women have been into you and wanted to screw you but I think its just you holding back A loss can do that I understand But dont let 	non-sexist	non-sexist
EXIST2021	1671	twitter	en	     We think of the idea of rights differently People say if you are feminism you are against womens rights we disagree Many rights that women have nowadays we would agree with ie owning a bank account  very difficult for a woman in todays society to live without one 	non-sexist	non-sexist
EXIST2021	1672	twitter	en	                                                  If she had any sense of humour at all shed have just ripped her knickers off	sexist	sexual-violence
EXIST2021	1673	twitter	en	 Dont mind me being here in this room full of preggo ladies	sexist	misogyny-non-sexual-violence
EXIST2021	1674	twitter	en	  So who runs the GOP  Is it DiaperDon or MoscowMitch  Cuz it looks like Mitch is making lil Donnie and you look like a bitch right now  If you cant influence Mitch what good are you to Georgians	non-sexist	non-sexist
EXIST2021	1675	twitter	en	  The one where rich men get laid VERY easily and short men are invisible yet women think they arent shallow prostitutes  mgtow	sexist	misogyny-non-sexual-violence
EXIST2021	1676	twitter	en	If grab em by the pussy is just locker room talk but a woman dropping the fbomb makes you clutch your pearls you can get in the fucking sea 	sexist	ideological-inequality
EXIST2021	1677	twitter	en	  Lets ruin the girls life because of something she said when she was a child  isnt young enough lets go back to birth with everyone who applies for a job college anything to see if theyve ever done or said anything they shouldnt have and lets ruin their lives Yay	non-sexist	non-sexist
EXIST2021	1678	twitter	en	Whats your biggest fantasy   To be loved haha  But um I dunno Ive always wanted to be roughly gangbanged it sounds like fun to me 	sexist	sexual-violence
EXIST2021	1679	twitter	en	What triggered me was back then my sister incharge of cleaning while im incharge of cooking and all my MF older brother job was to hang the laundry which he may or may not finish the job and we the WOMEN Would be the one to be blame because	sexist	stereotyping-dominance
EXIST2021	1680	twitter	en	Abide by the same high standards you expect of others  gamergate	non-sexist	non-sexist
EXIST2021	1681	twitter	en	   Nope when I say feminism I mean the extreme feminism that exists today which is based on a lot of victimism that hates men that claims to seek equality when it actually puts man on a pedestal below a feminism that has no logic and that puts women against men etc 	sexist	ideological-inequality
EXIST2021	1682	twitter	en	 Hi Dhar I watched this video Loved it I just want to address one thing I thought it was really funny how the woman used the ex  boss own words against him however um feminism is not women over men suits and skirts are both competent 	non-sexist	non-sexist
EXIST2021	1683	twitter	en	    and transwomen have hammered dead rats onto rape shelters	non-sexist	non-sexist
EXIST2021	1684	twitter	en	GOOD These black and brown men deserve to make more than some slimey no good Sentator 	non-sexist	non-sexist
EXIST2021	1685	twitter	en	 I mean either A They are actually sexist and are beyond help so they dont deserve your attentiontime or B they are just trying to get a reactionpiss you off so giving them that will just give them exactly what they want Ppl can call me we the want from behind a mute lol	non-sexist	non-sexist
EXIST2021	1686	twitter	en	finally bitch ass niggas yall cant pull that th down shit all the time	non-sexist	non-sexist
EXIST2021	1687	twitter	en	Introducing Grave Hand Kobolds Grave Hand Kobolds will be available in our thirdparty setting were creating for Pathfinder e by  The frigid northlands of Naltulth are going to be a heck of a place to adventure in ttrpg rpg pathfinder pathfindere paizo naltulth 	non-sexist	non-sexist
EXIST2021	1688	twitter	en	 Hyper woman seems like a crucial role	non-sexist	non-sexist
EXIST2021	1689	twitter	en	 Also theres no insurance from sex work Youre always stigmatized for the act and the stigma passes onto your family members as wellThe disadvantages outweigh the benefitsYou might as well become a trophy wife to some rich old man its still better if youre lazy	sexist	stereotyping-dominance
EXIST2021	1690	twitter	en	They think so little of women in this country that they blame the backlash on strategists No assholes at  we decided the column was hateful all on our own 	non-sexist	non-sexist
EXIST2021	1691	twitter	en	 shes a trophy wife but okay 	sexist	objectification
EXIST2021	1692	twitter	en	Sounds familiarMenToo ABLANARI FakeCases NirupaRoy toxicFeminism FEMINAZI GenderBiasedLaws womenempowerment LegalTerrorism LegalExtortion CrimeByWomen CrimeHasNoGender A DowryLawMisuse GenderEquality Golddigger blackmail FraudWatch doublestandard 	sexist	ideological-inequality
EXIST2021	1693	twitter	en	Yall still ignore women on here and its nasty  sum of us r not comfortable modeling men we should still get the same amount of attention as everyone else krp kpoprp krp	sexist	stereotyping-dominance
EXIST2021	1694	twitter	en	   Ha   That now takes the lead for the dumbest statement Ive seen the day   Do civilized people say they are going to grab women by the BEEP   Im mean the idiocy of the right is amazing	sexist	misogyny-non-sexual-violence
EXIST2021	1695	twitter	en	 Definition of a Dumb Blonde 	sexist	stereotyping-dominance
EXIST2021	1696	twitter	en	Since the n point is VERY important Imma make its answer a threadTop  most Important Women in Islam and the overall equal status of The woman in it and her rights I came to find out that gender equality  justice hence feminism is actually against women ironically 	sexist	ideological-inequality
EXIST2021	1697	twitter	en	Woman sues her boyfriend for not proposing to her after eight years  via  mgtow marriage crazy women are the gatekeepers to sx men are the gatekeepers to relationshipsmarriage  she deserves nothing  its his decision	sexist	misogyny-non-sexual-violence
EXIST2021	1698	twitter	en	 Karen moans and rubs harder Mm you know how to please a woman she says as she turns Hildas head towards her and kisses her passionately	non-sexist	non-sexist
EXIST2021	1699	twitter	en	  Best wishes for a speedy recovery  She is a strong woman	non-sexist	non-sexist
EXIST2021	1700	twitter	en	Ladies with that deep bow let us rejoice for the day when we can show off our lips again without masks someday while we deliver that biting commentary A power fist looks better with glitter Proud of badass comms women in the WH again  	non-sexist	non-sexist
EXIST2021	1701	twitter	en	Next house a fat yard and a fire pit are necessities	non-sexist	non-sexist
EXIST2021	1702	twitter	en	No man is good enough for me I need a king	non-sexist	non-sexist
EXIST2021	1703	twitter	en	Eeeeeeeeeee ah know its dangerous and wicked but Edi had to run to the toilet she nearly wet herself Jordan is shouting you are a cunt Stefan its not funny ah look like a fucking Panda its pulled my eyebrows off ah look like a nonce or summit as bad eeeeeee ah cant stop	non-sexist	non-sexist
EXIST2021	1704	twitter	en	 You look like a whore	sexist	objectification
EXIST2021	1705	twitter	en	This white whore was merging over a straight line not checking her blind spot and almost hit the side of the car my niece was on luckily that hoe got off the same exit as me and I honked at every light punching my fist  she kept so much distance  scary ass hoe	sexist	misogyny-non-sexual-violence
EXIST2021	1706	twitter	en	ok this is like a dumb story but I feel like if I met bakugou irl I would do everything under the sun to annoy the fuck out of him bc I had this rivalry going with a guy with a similar personality as him back in middle school and like we told everyone we hated each other but	non-sexist	non-sexist
EXIST2021	1707	twitter	en	Call me sexist or whatever but I dont believe women should be playing mens college football StartYourOwnLeague MyOpinionTakeItOrLeaveIt	sexist	stereotyping-dominance
EXIST2021	1708	twitter	en	Ya man Trump is dangerous as fck  Lock his ass up  	non-sexist	non-sexist
EXIST2021	1709	twitter	en	Vaccinations Begin Who Will And Wont Roll Up Their Sleeve And What Can Be Done To Increase The Numbers Black Women Are Leading The WayTodays 	non-sexist	non-sexist
EXIST2021	1710	twitter	en	Remember when guys used to be disgusted when you said you ate ass smh same mfs who dont know how to make women cum	sexist	sexual-violence
EXIST2021	1711	twitter	en	 Nothing like puritan Catholics in the timeline	non-sexist	non-sexist
EXIST2021	1712	twitter	en	Talking of money  First time in my life Ive been proper skint there this year due to that COVID Lockdown Cunt amp a my thigh muscle was brutally knackered for about  months Im on the up again now thank fuck  Being poor fucking sucks Trust	non-sexist	non-sexist
EXIST2021	1713	twitter	en	My mums scathing observations on my outfits this weekoh no you look like a prostitute from the s that top makes you look like a jester and you look like one of those haunted dolls from a horror film that is  Christmas outfits shes unnecessarily attacked now	sexist	objectification
EXIST2021	1714	twitter	en	You look like a prostitute whore Nancy	sexist	objectification
EXIST2021	1715	twitter	en	   OH MY FUCK Please take that from my memory  PlEEEEEEEZE	non-sexist	non-sexist
EXIST2021	1716	twitter	en	  DONT FUCKING LIKE THIS YOU WHORE	sexist	misogyny-non-sexual-violence
EXIST2021	1717	twitter	en	  Yeah but people have really inflicted a lot of harm onto Christelyn because they got upset at things that were saidI can understand why shes being careful because angry black women can be VICIOUS	sexist	stereotyping-dominance
EXIST2021	1718	twitter	en	fighting service women will not do Sarah Stern must spank their bare asses 	sexist	misogyny-non-sexual-violence
EXIST2021	1719	twitter	en	   Body language and the way one talks Thats YOU Not every male had the same body language or speaks like every other man some are liked by some people some arentSo much on these threads re trans vs womensrights is just confirming over and over over again that LGBT ok	sexist	ideological-inequality
EXIST2021	1720	twitter	en	 Molly since youre a woman let me point you in the direction of the iron hoover and kitchen sink  Spoken like a true trump supporter bet you love me  Mebbe if I grab your pussy	sexist	stereotyping-dominance
EXIST2021	1721	twitter	en	We shouldnt tell women what to do but fuck it Ill still go ahead and tell her what to doNa ment at this point	sexist	stereotyping-dominance
EXIST2021	1722	twitter	en	ive repressed it for too long 	non-sexist	non-sexist
EXIST2021	1723	twitter	en	    Hes not a her He is a man Neither woman nor lesbian Dont be scared to admit it You know it to be true Dont be intimidated by the screaming cosplaying men I know they hate women but dont embolden them	non-sexist	non-sexist
EXIST2021	1724	twitter	en	 Ill admit that I am May I ask why are you nakedDamien said while looking at the bent over woman He doesnt let the opportunity go to waste and gives her a hard spank	sexist	misogyny-non-sexual-violence
EXIST2021	1725	twitter	en	A discussion on Dostoevsky a bit of shoplifting at Whole Foods an afternoon of Marx and Mao and finish off the day with a mocha at Cosi and light sexual harassment by the Ballston Metro  TakeMeBack 	sexist	sexual-violence
EXIST2021	1726	twitter	en	You choose to be sexist and misogynistic and to not unlearn toxic masculinity for what Coz you benefit from the patriarchy and you dont wanna call out your friends on their BS Or change coz it is uncomfortable For what Miss me with that mindset stay away from me  	non-sexist	non-sexist
EXIST2021	1727	twitter	en	 Bears sexual harassment	sexist	sexual-violence
EXIST2021	1728	twitter	en	 i see you but its VERY low on my list of attractive things	non-sexist	non-sexist
EXIST2021	1729	twitter	en	 very much agree with the attractive and cute part especially the cute partNice start eh Letania  what do we call you	non-sexist	non-sexist
EXIST2021	1730	twitter	en	Spank me I love dating contact me at profile link  vancouver amateur mature love women horny glasgow encounters sexdating adult hot casual escorts girls sex brisbane reykjavík sexchat boobs wien uksex san jose sexting girl	sexist	sexual-violence
EXIST2021	1731	twitter	en	 Just in my head it seems a heavy lift for Trump to get re elected but I hope he does  I worry about what happens if this fraud is allowed  will get ugly I surmise if Biden goes in	non-sexist	non-sexist
EXIST2021	1732	twitter	en	 growing up in a religious town I hear things such as but god made them for us to eatbut what will you cook for your husband when you get married love hearing those	sexist	stereotyping-dominance
EXIST2021	1733	twitter	en	Why yall like to act like you dont know Dr King used to love him some white women	non-sexist	non-sexist
EXIST2021	1734	twitter	en	That cunt That absolute cunt Daring to invoke fuck	sexist	misogyny-non-sexual-violence
EXIST2021	1735	twitter	en	 It would be nice to see you wrestle against a strong woman She will spank your ass when she will scissor you between her strong leg Nice to hear you saying I submit yes no	sexist	stereotyping-dominance
EXIST2021	1736	twitter	en	yes im sure you tweeting about how much you hate trans people on twitter is materially helping women	non-sexist	non-sexist
EXIST2021	1737	twitter	en	  The only reason men are in charge relatively new social norms are they figured out our children are our weakness Well girls if we dont get tough fast theyll slither back inWomen know how to multitask care love amp spank all at the same timeKids Matter	sexist	stereotyping-dominance
EXIST2021	1738	twitter	en	   Its like who the fuck are they and why should I give them any more political credibility more than I would some rando in my FB feed Theyre not the first people to have a class reductionist interpretation of American politics and its not any less obnoxious  years later	non-sexist	non-sexist
EXIST2021	1739	twitter	en	sorry he doesnt have fat fucking tits he cut them off when he was  	sexist	sexual-violence
EXIST2021	1740	twitter	en	 Dont be a feminazi amp conform people according to your will Respect people choice lady	sexist	ideological-inequality
EXIST2021	1741	twitter	en	All of this nonsense started with mass virtueYou need to do this for me they cryMore people need to say fuck off you selfish cunt and stay insideMake no mistake those advocating that you must do as they say for their health are fascists	non-sexist	non-sexist
EXIST2021	1742	twitter	en	Man beautiful women with kind personalities blow my mind if I was a woman and I looked good like undeniably good like drop dead gorgeous people stare wherever I go good I feel like Id be so damn conceited and self absorbed	sexist	objectification
EXIST2021	1743	twitter	en	Homer is driving drunk and has collided with a woman mechanic	non-sexist	non-sexist
EXIST2021	1744	twitter	en	Niggas in the FGC aint got no respect for women as always Women can be gamers too and  whoop ya ass Ive experienced it from many good female players LMAOO	sexist	stereotyping-dominance
EXIST2021	1745	twitter	en	 Anthem for the NationThe Ugly American by KongressSurvivor of  Mort Downey ShowsSeeds were sownKollagescopic VideoPICK OF THE DAY   Closed Caption CC Lyrics popupClick ONListen wheadphones amp Experience full impact of Stereo Manipulated Voices	non-sexist	non-sexist
EXIST2021	1746	twitter	en	 birthday cake is one of the best songs of the s tho eternal slapper	non-sexist	non-sexist
EXIST2021	1747	twitter	en	I know I be given off dumb blonde energy with a dash of depression sprinkled on top B 	sexist	stereotyping-dominance
EXIST2021	1748	twitter	en	Id like to make some points on this Women or anyone who identifies as a woman are allowed to like and enjoy and talk about football just as much as men It doesnt mean we all have to agree or have a contest of who knows more or highlight the fact that we have boobs	sexist	stereotyping-dominance
EXIST2021	1749	twitter	en	womensfashion womenswear womenstyle womens womenshealth womensupportingwomen womensfitness womensbest womensstyle womensclothing womensrights womensday WomensRunningCommunity womensphysique JIMMY CHOO  NEW in my kit Womens shoes 	non-sexist	non-sexist
EXIST2021	1750	twitter	en	 hah same theres like three whole podcast episodes where I pick it apart And Im mad bc Im a big wonder woman fan	non-sexist	non-sexist
EXIST2021	1751	twitter	en	Free woman vs bond woman	non-sexist	non-sexist
EXIST2021	1752	twitter	en	I cant let my lady out hustle or work me  that shit just make me feel like less of a dike	sexist	stereotyping-dominance
EXIST2021	1753	twitter	en	Weigh the consequences of publishing or broadcasting personal information gamergate	non-sexist	non-sexist
EXIST2021	1754	twitter	en	Chatting to women in your s there either crazy got  kids with  baby daddys theyre already taken and your the side bit or then theres the one who you think has it all and seems perfect then you find out she only talking to you so you subscribe to her only fans Im done	sexist	stereotyping-dominance
EXIST2021	1755	twitter	en	  Then he shouldnt be threatening women in Twitter	sexist	misogyny-non-sexual-violence
EXIST2021	1756	twitter	en	  Well indeed Someone somewhere might be having some fun How someone can be a puritan libertarian is beyond me He has to be taking the piss because the one good thing about libertarians is that they are fun and he even finds a way to ruin that PeterHitchens	non-sexist	non-sexist
EXIST2021	1757	twitter	en	Car ends up in Comox ditch woman claims dog was driving 	non-sexist	non-sexist
EXIST2021	1758	twitter	en	Just letting you all know I am taking a break because Im not in a good state of mind and its all on me No one to blame but myself See you when I see you	non-sexist	non-sexist
EXIST2021	1759	twitter	en	 The saddest thing about Sundays are that churches are filled with simps and betas in search for the love of their life These ones are cock carousel vets on the prowl for providers Freakin sad	sexist	stereotyping-dominance
